"","COUNTY","DATE","Population","death_est_total_inf","death_inf_vacc_obs_imm","N","I","R","S"
"1","Alamance",2020-02-23,163324,0,0,163324,0,0,163324
"2","Alamance",2020-02-27,163324,0,0,163324,0,0,163324
"3","Alamance",2020-03-01,163324,0,0,163324,0,0,163324
"4","Alamance",2020-03-05,163324,0,0,163324,0,0,163324
"5","Alamance",2020-03-08,163324,153.846153846154,0.0941969054432624,163324,153.846153846154,0,163170.153846154
"6","Alamance",2020-03-12,163324,0,0.0941969054432624,163324,0,153.846153846154,163170.153846154
"7","Alamance",2020-03-15,163324,0,0.0941969054432624,163324,0,153.846153846154,163170.153846154
"8","Alamance",2020-03-19,163324,0,0.0941969054432624,163324,0,153.846153846154,163170.153846154
"9","Alamance",2020-03-22,163324,153.846153846154,0.188393810886525,163324,153.846153846154,153.846153846154,163016.307692308
"10","Alamance",2020-03-26,163324,0,0.188393810886525,163324,0,307.692307692308,163016.307692308
"11","Alamance",2020-03-29,163324,153.846153846154,0.282590716329787,163324,153.846153846154,307.692307692308,162862.461538462
"12","Alamance",2020-04-02,163324,0,0.282590716329787,163324,0,461.538461538461,162862.461538462
"13","Alamance",2020-04-05,163324,0,0.282590716329787,163324,0,461.538461538461,162862.461538462
"14","Alamance",2020-04-09,163324,615.384615384615,0.659378338102837,163324,615.384615384615,461.538461538461,162247.076923077
"15","Alamance",2020-04-12,163324,153.846153846154,0.753575243546099,163324,153.846153846154,1076.92307692308,162093.230769231
"16","Alamance",2020-04-16,163324,1384.61538461538,1.60134739253546,163324,1384.61538461538,1230.76923076923,160708.615384615
"17","Alamance",2020-04-19,163324,0,1.60134739253546,163324,0,2615.38461538462,160708.615384615
"18","Alamance",2020-04-23,163324,1538.46153846154,2.54331644696809,163324,1538.46153846154,2615.38461538462,159170.153846154
"19","Alamance",2020-04-26,163324,153.846153846154,2.63751335241135,163324,153.846153846154,4153.84615384615,159016.307692308
"20","Alamance",2020-04-30,163324,615.384615384615,3.0143009741844,163324,615.384615384615,4307.69230769231,158400.923076923
"21","Alamance",2020-05-03,163324,0,3.0143009741844,163324,0,4923.07692307692,158400.923076923
"22","Alamance",2020-05-07,163324,461.538461538462,3.29689169051418,163324,461.538461538462,4923.07692307692,157939.384615385
"23","Alamance",2020-05-10,163324,0,3.29689169051418,163324,0,5384.61538461539,157939.384615385
"24","Alamance",2020-05-14,163324,0,3.29689169051418,163324,0,5384.61538461539,157939.384615385
"25","Alamance",2020-05-17,163324,307.692307692308,3.48528550140071,163324,307.692307692308,5384.61538461539,157631.692307692
"26","Alamance",2020-05-21,163324,0,3.48528550140071,163324,0,5692.30769230769,157631.692307692
"27","Alamance",2020-05-24,163324,153.846153846154,3.57948240684397,163324,153.846153846154,5692.30769230769,157477.846153846
"28","Alamance",2020-05-28,163324,307.692307692308,3.7678762177305,163324,307.692307692308,5846.15384615385,157170.153846154
"29","Alamance",2020-05-31,163324,0,3.7678762177305,163324,0,6153.84615384615,157170.153846154
"30","Alamance",2020-06-04,163324,0,3.7678762177305,163324,0,6153.84615384615,157170.153846154
"31","Alamance",2020-06-07,163324,153.846153846154,3.86207312317376,163324,153.846153846154,6153.84615384615,157016.307692308
"32","Alamance",2020-06-11,163324,0,3.86207312317376,163324,0,6307.69230769231,157016.307692308
"33","Alamance",2020-06-14,163324,153.846153846154,3.95627002861702,163324,153.846153846154,6307.69230769231,156862.461538462
"34","Alamance",2020-06-18,163324,0,3.95627002861702,163324,0,6461.53846153846,156862.461538462
"35","Alamance",2020-06-21,163324,0,3.95627002861702,163324,0,6461.53846153846,156862.461538462
"36","Alamance",2020-06-25,163324,0,3.95627002861702,163324,0,6461.53846153846,156862.461538462
"37","Alamance",2020-06-28,163324,153.846153846154,4.05046693406028,163324,153.846153846154,6461.53846153846,156708.615384615
"38","Alamance",2020-07-02,163324,0,4.05046693406028,163324,0,6615.38461538462,156708.615384615
"39","Alamance",2020-07-05,163324,153.846153846154,4.14466383950355,163324,153.846153846154,6615.38461538462,156554.769230769
"40","Alamance",2020-07-09,163324,0,4.14466383950355,163324,0,6769.23076923077,156554.769230769
"41","Alamance",2020-07-12,163324,0,4.14466383950355,163324,0,6769.23076923077,156554.769230769
"42","Alamance",2020-07-16,163324,615.384615384615,4.52145146127659,163324,615.384615384615,6769.23076923077,155939.384615385
"43","Alamance",2020-07-19,163324,153.846153846154,4.61564836671986,163324,153.846153846154,7384.61538461538,155785.538461538
"44","Alamance",2020-07-23,163324,0,4.61564836671986,163324,0,7538.46153846154,155785.538461538
"45","Alamance",2020-07-26,163324,153.846153846154,4.70984527216312,163324,153.846153846154,7538.46153846154,155631.692307692
"46","Alamance",2020-07-30,163324,0,4.70984527216312,163324,0,7692.30769230769,155631.692307692
"47","Alamance",2020-08-02,163324,153.846153846154,4.80404217760638,163324,153.846153846154,7692.30769230769,155477.846153846
"48","Alamance",2020-08-06,163324,0,4.80404217760638,163324,0,7846.15384615385,155477.846153846
"49","Alamance",2020-08-09,163324,307.692307692308,4.99243598849291,163324,307.692307692308,7846.15384615385,155170.153846154
"50","Alamance",2020-08-13,163324,307.692307692308,5.18082979937943,163324,307.692307692308,8153.84615384616,154862.461538462
"51","Alamance",2020-08-16,163324,0,5.18082979937943,163324,0,8461.53846153846,154862.461538462
"52","Alamance",2020-08-20,163324,1384.61538461538,6.02860194836879,163324,1384.61538461538,8461.53846153846,153477.846153846
"53","Alamance",2020-08-23,163324,153.846153846154,6.12279885381205,163324,153.846153846154,9846.15384615385,153324
"54","Alamance",2020-08-27,163324,307.692307692308,6.31119266469858,163324,307.692307692308,10000,153016.307692308
"55","Alamance",2020-08-30,163324,307.692307692308,6.4995864755851,163324,307.692307692308,10307.6923076923,152708.615384615
"56","Alamance",2020-09-03,163324,0,6.4995864755851,163324,0,10615.3846153846,152708.615384615
"57","Alamance",2020-09-06,163324,0,6.4995864755851,163324,0,10615.3846153846,152708.615384615
"58","Alamance",2020-09-10,163324,461.538461538462,6.78217719191489,163324,461.538461538462,10615.3846153846,152247.076923077
"59","Alamance",2020-09-13,163324,0,6.78217719191489,163324,0,11076.9230769231,152247.076923077
"60","Alamance",2020-09-17,163324,615.384615384615,7.15896481368794,163324,615.384615384615,11076.9230769231,151631.692307692
"61","Alamance",2020-09-20,163324,307.692307692308,7.34735862457447,163324,307.692307692308,11692.3076923077,151324
"62","Alamance",2020-09-24,163324,3846.15384615385,9.70228126065603,163324,3846.15384615385,12000,147477.846153846
"63","Alamance",2020-09-27,163324,0,9.70228126065603,163324,0,15846.1538461538,147477.846153846
"64","Alamance",2020-10-01,163324,1692.30769230769,10.7384472205319,163324,1692.30769230769,15846.1538461538,145785.538461538
"65","Alamance",2020-10-04,163324,153.846153846154,10.8326441259752,163324,153.846153846154,17538.4615384615,145631.692307692
"66","Alamance",2020-10-08,163324,1384.61538461538,11.6804162749645,163324,1384.61538461538,17692.3076923077,144247.076923077
"67","Alamance",2020-10-11,163324,0,11.6804162749645,163324,0,19076.9230769231,144247.076923077
"68","Alamance",2020-10-15,163324,615.384615384615,12.0572038967376,163324,615.384615384615,19076.9230769231,143631.692307692
"69","Alamance",2020-10-18,163324,307.692307692308,12.2455977076241,163324,307.692307692308,19692.3076923077,143324
"70","Alamance",2020-10-22,163324,0,12.2455977076241,163324,0,20000,143324
"71","Alamance",2020-10-25,163324,0,12.2455977076241,163324,0,20000,143324
"72","Alamance",2020-10-29,163324,615.384615384615,12.6223853293972,163324,615.384615384615,20000,142708.615384615
"73","Alamance",2020-11-01,163324,307.692307692308,12.8107791402837,163324,307.692307692308,20615.3846153846,142400.923076923
"74","Alamance",2020-11-05,163324,153.846153846154,12.904976045727,163324,153.846153846154,20923.0769230769,142247.076923077
"75","Alamance",2020-11-08,163324,769.230769230769,13.3759605729433,163324,769.230769230769,21076.9230769231,141477.846153846
"76","Alamance",2020-11-12,163324,769.230769230769,13.8469451001596,163324,769.230769230769,21846.1538461538,140708.615384615
"77","Alamance",2020-11-15,163324,615.384615384615,14.2237327219326,163324,615.384615384615,22615.3846153846,140093.230769231
"78","Alamance",2020-11-19,163324,2461.53846153846,15.7308832090248,163324,2461.53846153846,23230.7692307692,137631.692307692
"79","Alamance",2020-11-22,163324,307.692307692308,15.9192770199113,163324,307.692307692308,25692.3076923077,137324
"80","Alamance",2020-11-26,163324,923.076923076923,16.4844584525709,163324,923.076923076923,26000,136400.923076923
"81","Alamance",2020-11-29,163324,615.384615384615,16.861246074344,163324,615.384615384615,26923.0769230769,135785.538461538
"82","Alamance",2020-12-03,163324,2615.38461538462,18.4625934668794,163324,2615.38461538462,27538.4615384615,133170.153846154
"83","Alamance",2020-12-06,163324,0,18.4625934668794,163324,0,30153.8461538462,133170.153846154
"84","Alamance",2020-12-10,163324,2307.69230769231,19.8755470485284,163324,2307.69230769231,30153.8461538462,130862.461538462
"85","Alamance",2020-12-13,163324,307.692307692308,20.0639408594149,163324,307.692307692308,32461.5384615385,130554.769230769
"86","Alamance",2020-12-16,163324,0,20.0639408594149,163324,0,32769.2307692308,130554.769230769
"87","Alamance",2020-12-17,163324,3230.76923076923,22.0420758737234,163324,3230.76923076923,32769.2307692308,127324
"88","Alamance",2020-12-18,163324,0,22.0420758737234,163324,0,36000,127324
"89","Alamance",2020-12-19,163324,0,22.0420758737234,163324,0,36000,127324
"90","Alamance",2020-12-20,163324,153.846153846154,22.1362727791667,163324,153.846153846154,36000,127170.153846154
"91","Alamance",2020-12-21,163324,0,22.1362727791667,163324,0,36153.8461538462,127170.153846154
"92","Alamance",2020-12-22,163324,0,22.1362727791667,163324,0,36153.8461538462,127170.153846154
"93","Alamance",2020-12-23,163324,0,22.1362727791667,163324,0,36153.8461538462,127170.153846154
"94","Alamance",2020-12-24,163324,1076.92307692308,22.7956511172695,163324,1076.92307692308,36153.8461538462,126093.230769231
"95","Alamance",2020-12-25,163324,0,22.7956511172695,163324,0,37230.7692307692,126093.230769231
"96","Alamance",2020-12-26,163324,0,22.7956511172695,163324,0,37230.7692307692,126093.230769231
"97","Alamance",2020-12-27,163324,307.692307692308,22.984044928156,163324,307.692307692308,37230.7692307692,125785.538461538
"98","Alamance",2020-12-28,163324,0,22.984044928156,163324,0,37538.4615384615,125785.538461538
"99","Alamance",2020-12-29,163324,0,22.984044928156,163324,0,37538.4615384615,125785.538461538
"100","Alamance",2020-12-30,163324,0,22.9921650742848,163324,0,37551.7236859249,125772.276314075
"101","Alamance",2020-12-31,163324,1076.92307692308,23.6595245159387,163324,1076.92307692308,37564.7587434886,124682.318179588
"102","Alamance",2021-01-01,163324,0,23.6715913255075,163324,0,38661.3898164718,124662.610183528
"103","Alamance",2021-01-02,163324,0,23.6865268384502,163324,0,38685.7830936304,124638.21690637
"104","Alamance",2021-01-03,163324,0,23.7049047954462,163324,0,38715.7987081145,124608.201291885
"105","Alamance",2021-01-04,163324,0,23.7267251964955,163324,0,38751.4366599243,124572.563340076
"106","Alamance",2021-01-05,163324,0,23.7519880415943,163324,0,38792.6969490534,124531.303050947
"107","Alamance",2021-01-06,163324,0,23.7806933307464,163324,0,38839.5795755082,124484.420424492
"108","Alamance",2021-01-07,163324,2153.84615384615,25.1286717204047,163324,2153.84615384615,38887.3056467876,122282.848199366
"109","Alamance",2021-01-08,163324,0,25.1660537543794,163324,0,41102.2056338025,122221.794366197
"110","Alamance",2021-01-09,163324,0,25.2092253135813,163324,0,41172.7151511536,122151.284848846
"111","Alamance",2021-01-10,163324,153.846153846154,25.3520117189221,163324,153.846153846154,41252.0734659662,121918.080380188
"112","Alamance",2021-01-11,163324,0,25.4066935987004,163324,0,41495.2282531415,121828.771746859
"113","Alamance",2021-01-12,163324,0,25.467157735951,163324,0,41593.9807006646,121730.019299335
"114","Alamance",2021-01-13,163324,0,25.5334041306739,163324,0,41702.1769623819,121621.823037618
"115","Alamance",2021-01-14,163324,769.230769230769,26.0729667583364,163324,769.230769230769,41814.1814591546,120740.587771615
"116","Alamance",2021-01-15,163324,0,26.1538326598599,163324,0,42715.4856533896,120608.51434661
"117","Alamance",2021-01-16,163324,0,26.2439884760523,163324,0,42862.7317386276,120461.268261372
"118","Alamance",2021-01-17,163324,307.692307692308,26.5297635942268,163324,307.692307692308,43021.7787849428,119994.528907365
"119","Alamance",2021-01-18,163324,0,26.6382241706069,163324,0,43506.613244402,119817.386755598
"120","Alamance",2021-01-19,163324,0,26.7559511609112,163324,0,43698.8896740466,119625.110325953
"121","Alamance",2021-01-20,163324,0,26.8829445651402,163324,0,43906.3003815696,119417.69961843
"122","Alamance",2021-01-21,163324,0,27.019204383294,163324,0,44128.8453669711,119195.154633029
"123","Alamance",2021-01-22,163324,0,27.1613086418716,163324,0,44360.9357262504,118963.06427375
"124","Alamance",2021-01-23,163324,0,27.3092573408735,163324,0,44602.5714594082,118721.428540592
